match_no,inning,ball,non_striker,batsman,bowler,runs_extra,runs_batsman,runs_total,extras,player_out,elimination_kind,fielders_caught,umpires_1,umpires_2,player_of_match,winner,city,venue,dates
MI vs RCB 2021-04-09,1st innings,0.1,CA Lynn,RG Sharma,Mohammed Siraj,0,2,2,,,,,KN Ananthapadmanabhan,Nitin Menon,HV Patel,Royal Challengers Bangalore,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",09-04-2021
MI vs RCB 2021-04-09,1st innings,0.2,CA Lynn,RG Sharma,Mohammed Siraj,0,0,0,,,,,KN Ananthapadmanabhan,Nitin Menon,HV Patel,Royal Challengers Bangalore,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",09-04-2021
MI vs RCB 2021-04-09,1st innings,0.3,CA Lynn,RG Sharma,Mohammed Siraj,0,0,0,,,,,KN Ananthapadmanabhan,Nitin Menon,HV Patel,Royal Challengers Bangalore,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",09-04-2021
MI vs RCB 2021-04-09,1st innings,0.4,CA Lynn,RG Sharma,Mohammed Siraj,0,2,2,,,,,KN Ananthapadmanabhan,Nitin Menon,HV Patel,Royal Challengers Bangalore,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",09-04-2021
MI vs RCB 2021-04-09,1st innings,0.5,CA Lynn,RG Sharma,Mohammed Siraj,0,0,0,,,,,KN Ananthapadmanabhan,Nitin Menon,HV Patel,Royal Challengers Bangalore,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",09-04-2021
MI vs RCB 2021-04-09,1st innings,0.6,CA Lynn,RG Sharma,Mohammed Siraj,0,1,1,,,,,KN Ananthapadmanabhan,Nitin Menon,HV Patel,Royal Challengers Bangalore,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",09-04-2021
MI vs RCB 2021-04-09,1st innings,1.1,CA Lynn,RG Sharma,KA Jamieson,0,1,1,,,,,KN Ananthapadmanabhan,Nitin Menon,HV Patel,Royal Challengers Bangalore,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",09-04-2021
MI vs RCB 2021-04-09,1st innings,1.2,RG Sharma,CA Lynn,KA Jamieson,0,0,0,,,,,KN Ananthapadmanabhan,Nitin Menon,HV Patel,Royal Challengers Bangalore,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",09-04-2021
MI vs RCB 2021-04-09,1st innings,1.3,RG Sharma,CA Lynn,KA Jamieson,0,0,0,,,,,KN Ananthapadmanabhan,Nitin Menon,HV Patel,Royal Challengers Bangalore,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",09-04-2021
MI vs RCB 2021-04-09,1st innings,1.4,RG Sharma,CA Lynn,KA Jamieson,0,0,0,,,,,KN Ananthapadmanabhan,Nitin Menon,HV Patel,Royal Challengers Bangalore,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",09-04-2021
