venue,competition,dates,outcome_winner,outcome_wickets,outcome_runs,1st_innings_team,2nd_innings_team,player_of_match,match_no
Sheikh Zayed Stadium,IPL,2020-09-19,Chennai Super Kings,5,,Mumbai Indians,Chennai Super Kings,AT Rayudu,1216492
Dubai International Cricket Stadium,IPL,2020-09-20,Delhi Capitals,,,Delhi Capitals,Kings XI Punjab,MP Stoinis,1216493
Sheikh Zayed Stadium,IPL,2020-10-21,Royal Challengers Bangalore,8,,Kolkata Knight Riders,Royal Challengers Bangalore,Mohammed Siraj,1216494
Sharjah Cricket Stadium,IPL,2020-11-03,Sunrisers Hyderabad,10,,Mumbai Indians,Sunrisers Hyderabad,S Nadeem,1216495
Sharjah Cricket Stadium,IPL,2020-09-22,Rajasthan Royals,,16,Rajasthan Royals,Chennai Super Kings,SV Samson,1216496
Sheikh Zayed Stadium,IPL,2020-10-24,Kolkata Knight Riders,,59,Kolkata Knight Riders,Delhi Capitals,CV Varun,1216497
Dubai International Cricket Stadium,IPL,2020-10-24,Kings XI Punjab,,12,Kings XI Punjab,Sunrisers Hyderabad,CJ Jordan,1216498
Sheikh Zayed Stadium,IPL,2020-10-28,Mumbai Indians,5,,Royal Challengers Bangalore,Mumbai Indians,SA Yadav,1216499
Sharjah Cricket Stadium,IPL,2020-10-09,Delhi Capitals,,46,Delhi Capitals,Rajasthan Royals,R Ashwin,1216500
Sheikh Zayed Stadium,IPL,2020-10-07,Kolkata Knight Riders,,10,Kolkata Knight Riders,Chennai Super Kings,RA Tripathi,1216501
Sharjah Cricket Stadium,IPL,2020-10-31,Sunrisers Hyderabad,5,,Royal Challengers Bangalore,Sunrisers Hyderabad,Sandeep Sharma,1216502
Sheikh Zayed Stadium,IPL,2020-10-01,Mumbai Indians,,48,Mumbai Indians,Kings XI Punjab,KA Pollard,1216503
Dubai International Cricket Stadium,IPL,2020-09-30,Kolkata Knight Riders,,37,Kolkata Knight Riders,Rajasthan Royals,Shivam Mavi,1216504
Sheikh Zayed Stadium,IPL,2020-11-02,Delhi Capitals,6,,Royal Challengers Bangalore,Delhi Capitals,A Nortje,1216505
Sheikh Zayed Stadium,IPL,2020-11-01,Chennai Super Kings,9,,Kings XI Punjab,Chennai Super Kings,RD Gaikwad,1216506
Dubai International Cricket Stadium,IPL,2020-10-11,Rajasthan Royals,5,,Sunrisers Hyderabad,Rajasthan Royals,R Tewatia,1216507
Sheikh Zayed Stadium,IPL,2020-09-23,Mumbai Indians,,49,Mumbai Indians,Kolkata Knight Riders,RG Sharma,1216508
Sharjah Cricket Stadium,IPL,2020-10-17,Delhi Capitals,5,,Chennai Super Kings,Delhi Capitals,S Dhawan,1216509
Dubai International Cricket Stadium,IPL,2020-09-24,Kings XI Punjab,,97,Kings XI Punjab,Royal Challengers Bangalore,KL Rahul,1216510
Sheikh Zayed Stadium,IPL,2020-10-06,Mumbai Indians,,57,Mumbai Indians,Rajasthan Royals,SA Yadav,1216511
Sheikh Zayed Stadium,IPL,2020-10-18,Kolkata Knight Riders,,,Kolkata Knight Riders,Sunrisers Hyderabad,LH Ferguson,1216512
Dubai International Cricket Stadium,IPL,2020-10-04,Chennai Super Kings,10,,Kings XI Punjab,Chennai Super Kings,SR Watson,1216513
