innings,delivery_no,delivery_no_over,non_striker,bowler,runs_extras,runs_total,runs_batsman,batsman,player_out,player_out_kind,match_no
1st innings,0,0.1,Shubman Gill,TA Boult,0,0,0,RA Tripathi,,,1216526
1st innings,1,0.2,Shubman Gill,TA Boult,0,1,1,RA Tripathi,,,1216526
1st innings,2,0.3,RA Tripathi,TA Boult,0,0,0,Shubman Gill,,,1216526
1st innings,3,0.4,RA Tripathi,TA Boult,1,1,0,Shubman Gill,,,1216526
1st innings,4,0.5,RA Tripathi,TA Boult,0,0,0,Shubman Gill,,,1216526
1st innings,5,0.6,RA Tripathi,TA Boult,0,0,0,Shubman Gill,,,1216526
1st innings,6,0.7,RA Tripathi,TA Boult,0,1,1,Shubman Gill,,,1216526
1st innings,7,1.1,RA Tripathi,NM Coulter-Nile,0,0,0,Shubman Gill,,,1216526
1st innings,8,1.2,RA Tripathi,NM Coulter-Nile,1,1,0,Shubman Gill,,,1216526
1st innings,9,1.3,RA Tripathi,NM Coulter-Nile,1,1,0,Shubman Gill,,,1216526
1st innings,10,1.4,RA Tripathi,NM Coulter-Nile,0,4,4,Shubman Gill,,,1216526
1st innings,11,1.5,RA Tripathi,NM Coulter-Nile,0,1,1,Shubman Gill,,,1216526
1st innings,12,1.6,Shubman Gill,NM Coulter-Nile,1,1,0,RA Tripathi,,,1216526
1st innings,13,1.7,Shubman Gill,NM Coulter-Nile,0,0,0,RA Tripathi,,,1216526
1st innings,14,1.8,Shubman Gill,NM Coulter-Nile,0,1,1,RA Tripathi,,,1216526
1st innings,15,1.9,RA Tripathi,NM Coulter-Nile,0,0,0,Shubman Gill,,,1216526
1st innings,16,2.1,Shubman Gill,TA Boult,0,0,0,RA Tripathi,,,1216526
1st innings,17,2.2,Shubman Gill,TA Boult,0,0,0,RA Tripathi,,,1216526
1st innings,18,2.3,Shubman Gill,TA Boult,0,1,1,RA Tripathi,,,1216526
1st innings,19,2.4,RA Tripathi,TA Boult,0,1,1,Shubman Gill,,,1216526
1st innings,20,2.5,Shubman Gill,TA Boult,0,4,4,RA Tripathi,,,1216526
1st innings,21,2.6,Shubman Gill,TA Boult,0,0,0,RA Tripathi,RA Tripathi,caught,1216526
1st innings,22,3.1,N Rana,JJ Bumrah,0,0,0,Shubman Gill,,,1216526
1st innings,23,3.2,N Rana,JJ Bumrah,0,0,0,Shubman Gill,,,1216526
1st innings,24,3.3,N Rana,JJ Bumrah,0,2,2,Shubman Gill,,,1216526
1st innings,25,3.4,N Rana,JJ Bumrah,0,1,1,Shubman Gill,,,1216526
1st innings,26,3.5,Shubman Gill,JJ Bumrah,0,0,0,N Rana,,,1216526
1st innings,27,3.6,Shubman Gill,JJ Bumrah,0,4,4,N Rana,,,1216526
1st innings,28,4.1,N Rana,KH Pandya,0,1,1,Shubman Gill,,,1216526
1st innings,29,4.2,Shubman Gill,KH Pandya,0,0,0,N Rana,,,1216526
1st innings,30,4.3,Shubman Gill,KH Pandya,0,1,1,N Rana,,,1216526
1st innings,31,4.4,N Rana,KH Pandya,0,0,0,Shubman Gill,,,1216526
1st innings,32,4.5,N Rana,KH Pandya,0,1,1,Shubman Gill,,,1216526
1st innings,33,4.6,Shubman Gill,KH Pandya,0,0,0,N Rana,,,1216526
1st innings,34,5.1,N Rana,NM Coulter-Nile,0,4,4,Shubman Gill,,,1216526
1st innings,35,5.2,N Rana,NM Coulter-Nile,0,1,1,Shubman Gill,,,1216526
1st innings,36,5.3,Shubman Gill,NM Coulter-Nile,0,0,0,N Rana,N Rana,caught,1216526
1st innings,37,5.4,Shubman Gill,NM Coulter-Nile,0,0,0,KD Karthik,,,1216526
1st innings,38,5.5,Shubman Gill,NM Coulter-Nile,0,0,0,KD Karthik,,,1216526
1st innings,39,5.6,Shubman Gill,NM Coulter-Nile,0,0,0,KD Karthik,,,1216526
1st innings,40,6.1,KD Karthik,KH Pandya,0,1,1,Shubman Gill,,,1216526
1st innings,41,6.2,Shubman Gill,KH Pandya,0,0,0,KD Karthik,,,1216526
1st innings,42,6.3,Shubman Gill,KH Pandya,0,0,0,KD Karthik,,,1216526
1st innings,43,6.4,Shubman Gill,KH Pandya,1,1,0,KD Karthik,,,1216526
1st innings,44,6.5,KD Karthik,KH Pandya,0,1,1,Shubman Gill,,,1216526
1st innings,45,6.6,Shubman Gill,KH Pandya,0,4,4,KD Karthik,,,1216526
1st innings,46,7.1,KD Karthik,RD Chahar,0,0,0,Shubman Gill,,,1216526
1st innings,47,7.2,KD Karthik,RD Chahar,0,2,2,Shubman Gill,,,1216526
1st innings,48,7.3,KD Karthik,RD Chahar,0,0,0,Shubman Gill,Shubman Gill,caught,1216526
1st innings,49,7.4,EJG Morgan,RD Chahar,0,0,0,KD Karthik,KD Karthik,bowled,1216526
1st innings,50,7.5,EJG Morgan,RD Chahar,0,1,1,AD Russell,,,1216526
1st innings,51,7.6,AD Russell,RD Chahar,0,0,0,EJG Morgan,,,1216526
1st innings,52,8.1,EJG Morgan,KH Pandya,0,1,1,AD Russell,,,1216526
1st innings,53,8.2,AD Russell,KH Pandya,0,0,0,EJG Morgan,,,1216526
1st innings,54,8.3,AD Russell,KH Pandya,0,1,1,EJG Morgan,,,1216526
1st innings,55,8.4,EJG Morgan,KH Pandya,0,0,0,AD Russell,,,1216526
1st innings,56,8.5,EJG Morgan,KH Pandya,0,6,6,AD Russell,,,1216526
1st innings,57,8.6,EJG Morgan,KH Pandya,0,0,0,AD Russell,,,1216526
1st innings,58,9.1,AD Russell,RD Chahar,0,2,2,EJG Morgan,,,1216526
1st innings,59,9.2,AD Russell,RD Chahar,0,0,0,EJG Morgan,,,1216526
1st innings,60,9.3,AD Russell,RD Chahar,0,0,0,EJG Morgan,,,1216526
1st innings,61,9.4,AD Russell,RD Chahar,0,0,0,EJG Morgan,,,1216526
1st innings,62,9.5,AD Russell,RD Chahar,0,4,4,EJG Morgan,,,1216526
1st innings,63,9.6,AD Russell,RD Chahar,0,0,0,EJG Morgan,,,1216526
1st innings,64,10.1,EJG Morgan,JJ Bumrah,0,0,0,AD Russell,,,1216526
1st innings,65,10.2,EJG Morgan,JJ Bumrah,0,4,4,AD Russell,,,1216526
1st innings,66,10.3,EJG Morgan,JJ Bumrah,0,0,0,AD Russell,,,1216526
1st innings,67,10.4,EJG Morgan,JJ Bumrah,0,0,0,AD Russell,AD Russell,caught,1216526
1st innings,68,10.5,EJG Morgan,JJ Bumrah,0,0,0,PJ Cummins,,,1216526
1st innings,69,10.6,EJG Morgan,JJ Bumrah,1,1,0,PJ Cummins,,,1216526
1st innings,70,10.7,EJG Morgan,JJ Bumrah,0,1,1,PJ Cummins,,,1216526
1st innings,71,11.1,EJG Morgan,RD Chahar,0,0,0,PJ Cummins,,,1216526
1st innings,72,11.2,EJG Morgan,RD Chahar,0,1,1,PJ Cummins,,,1216526
1st innings,73,11.3,PJ Cummins,RD Chahar,0,0,0,EJG Morgan,,,1216526
1st innings,74,11.4,PJ Cummins,RD Chahar,0,1,1,EJG Morgan,,,1216526
1st innings,75,11.5,EJG Morgan,RD Chahar,0,1,1,PJ Cummins,,,1216526
1st innings,76,11.6,PJ Cummins,RD Chahar,0,0,0,EJG Morgan,,,1216526
1st innings,77,12.1,EJG Morgan,NM Coulter-Nile,0,4,4,PJ Cummins,,,1216526
1st innings,78,12.2,EJG Morgan,NM Coulter-Nile,0,1,1,PJ Cummins,,,1216526
1st innings,79,12.3,PJ Cummins,NM Coulter-Nile,0,1,1,EJG Morgan,,,1216526
1st innings,80,12.4,EJG Morgan,NM Coulter-Nile,0,0,0,PJ Cummins,,,1216526
1st innings,81,12.5,EJG Morgan,NM Coulter-Nile,0,6,6,PJ Cummins,,,1216526
1st innings,82,12.6,EJG Morgan,NM Coulter-Nile,0,4,4,PJ Cummins,,,1216526
1st innings,83,13.1,PJ Cummins,RD Chahar,0,1,1,EJG Morgan,,,1216526
1st innings,84,13.2,EJG Morgan,RD Chahar,0,2,2,PJ Cummins,,,1216526
1st innings,85,13.3,EJG Morgan,RD Chahar,0,1,1,PJ Cummins,,,1216526
1st innings,86,13.4,PJ Cummins,RD Chahar,1,1,0,EJG Morgan,,,1216526
1st innings,87,13.5,EJG Morgan,RD Chahar,0,2,2,PJ Cummins,,,1216526
1st innings,88,13.6,EJG Morgan,RD Chahar,0,0,0,PJ Cummins,,,1216526
1st innings,89,14.1,PJ Cummins,KH Pandya,0,1,1,EJG Morgan,,,1216526
1st innings,90,14.2,EJG Morgan,KH Pandya,0,0,0,PJ Cummins,,,1216526
1st innings,91,14.3,EJG Morgan,KH Pandya,0,2,2,PJ Cummins,,,1216526
1st innings,92,14.4,EJG Morgan,KH Pandya,0,2,2,PJ Cummins,,,1216526
1st innings,93,14.5,EJG Morgan,KH Pandya,0,1,1,PJ Cummins,,,1216526
1st innings,94,14.6,PJ Cummins,KH Pandya,0,0,0,EJG Morgan,,,1216526
1st innings,95,15.1,EJG Morgan,JJ Bumrah,0,0,0,PJ Cummins,,,1216526
1st innings,96,15.2,EJG Morgan,JJ Bumrah,0,1,1,PJ Cummins,,,1216526
1st innings,97,15.3,PJ Cummins,JJ Bumrah,0,1,1,EJG Morgan,,,1216526
1st innings,98,15.4,EJG Morgan,JJ Bumrah,0,2,2,PJ Cummins,,,1216526
1st innings,99,15.5,EJG Morgan,JJ Bumrah,0,0,0,PJ Cummins,,,1216526
1st innings,100,15.6,EJG Morgan,JJ Bumrah,0,0,0,PJ Cummins,,,1216526
1st innings,101,16.1,PJ Cummins,TA Boult,0,4,4,EJG Morgan,,,1216526
1st innings,102,16.2,PJ Cummins,TA Boult,0,1,1,EJG Morgan,,,1216526
1st innings,103,16.3,EJG Morgan,TA Boult,0,0,0,PJ Cummins,,,1216526
1st innings,104,16.4,EJG Morgan,TA Boult,0,4,4,PJ Cummins,,,1216526
1st innings,105,16.5,EJG Morgan,TA Boult,0,0,0,PJ Cummins,,,1216526
1st innings,106,16.6,EJG Morgan,TA Boult,0,0,0,PJ Cummins,,,1216526
1st innings,107,17.1,PJ Cummins,JJ Bumrah,0,2,2,EJG Morgan,,,1216526
1st innings,108,17.2,PJ Cummins,JJ Bumrah,0,1,1,EJG Morgan,,,1216526
1st innings,109,17.3,EJG Morgan,JJ Bumrah,0,1,1,PJ Cummins,,,1216526
1st innings,110,17.4,PJ Cummins,JJ Bumrah,0,1,1,EJG Morgan,,,1216526
1st innings,111,17.5,EJG Morgan,JJ Bumrah,0,0,0,PJ Cummins,,,1216526
1st innings,112,17.6,EJG Morgan,JJ Bumrah,0,0,0,PJ Cummins,,,1216526
1st innings,113,18.1,PJ Cummins,TA Boult,0,1,1,EJG Morgan,,,1216526
1st innings,114,18.2,EJG Morgan,TA Boult,0,6,6,PJ Cummins,,,1216526
1st innings,115,18.3,EJG Morgan,TA Boult,0,4,4,PJ Cummins,,,1216526
1st innings,116,18.4,EJG Morgan,TA Boult,0,1,1,PJ Cummins,,,1216526
1st innings,117,18.5,PJ Cummins,TA Boult,0,1,1,EJG Morgan,,,1216526
1st innings,118,18.6,EJG Morgan,TA Boult,0,1,1,PJ Cummins,,,1216526
1st innings,119,19.1,EJG Morgan,NM Coulter-Nile,0,4,4,PJ Cummins,,,1216526
1st innings,120,19.2,EJG Morgan,NM Coulter-Nile,0,1,1,PJ Cummins,,,1216526
1st innings,121,19.3,PJ Cummins,NM Coulter-Nile,0,6,6,EJG Morgan,,,1216526
1st innings,122,19.4,PJ Cummins,NM Coulter-Nile,0,2,2,EJG Morgan,,,1216526
1st innings,123,19.5,PJ Cummins,NM Coulter-Nile,0,2,2,EJG Morgan,,,1216526
1st innings,124,19.6,PJ Cummins,NM Coulter-Nile,0,6,6,EJG Morgan,,,1216526
2nd innings,0,0.1,Q de Kock,CJ Green,0,4,4,RG Sharma,,,1216526
2nd innings,1,0.2,Q de Kock,CJ Green,0,0,0,RG Sharma,,,1216526
2nd innings,2,0.3,Q de Kock,CJ Green,0,1,1,RG Sharma,,,1216526
2nd innings,3,0.4,RG Sharma,CJ Green,0,0,0,Q de Kock,,,1216526
2nd innings,4,0.5,RG Sharma,CJ Green,0,0,0,Q de Kock,,,1216526
2nd innings,5,0.6,RG Sharma,CJ Green,0,2,2,Q de Kock,,,1216526
2nd innings,6,1.1,Q de Kock,PJ Cummins,4,4,0,RG Sharma,,,1216526
2nd innings,7,1.2,Q de Kock,PJ Cummins,0,0,0,RG Sharma,,,1216526
2nd innings,8,1.3,Q de Kock,PJ Cummins,0,4,4,RG Sharma,,,1216526
2nd innings,9,1.4,Q de Kock,PJ Cummins,0,0,0,RG Sharma,,,1216526
2nd innings,10,1.5,Q de Kock,PJ Cummins,1,1,0,RG Sharma,,,1216526
2nd innings,11,1.6,RG Sharma,PJ Cummins,0,0,0,Q de Kock,,,1216526
2nd innings,12,2.1,Q de Kock,M Prasidh Krishna,0,0,0,RG Sharma,,,1216526
2nd innings,13,2.2,Q de Kock,M Prasidh Krishna,0,4,4,RG Sharma,,,1216526
2nd innings,14,2.3,Q de Kock,M Prasidh Krishna,0,4,4,RG Sharma,,,1216526
2nd innings,15,2.4,Q de Kock,M Prasidh Krishna,0,1,1,RG Sharma,,,1216526
2nd innings,16,2.5,RG Sharma,M Prasidh Krishna,0,4,4,Q de Kock,,,1216526
2nd innings,17,2.6,RG Sharma,M Prasidh Krishna,0,1,1,Q de Kock,,,1216526
2nd innings,18,3.1,RG Sharma,PJ Cummins,0,4,4,Q de Kock,,,1216526
2nd innings,19,3.2,RG Sharma,PJ Cummins,0,4,4,Q de Kock,,,1216526
2nd innings,20,3.3,RG Sharma,PJ Cummins,0,1,1,Q de Kock,,,1216526
2nd innings,21,3.4,Q de Kock,PJ Cummins,0,0,0,RG Sharma,,,1216526
2nd innings,22,3.5,Q de Kock,PJ Cummins,0,0,0,RG Sharma,,,1216526
2nd innings,23,3.6,Q de Kock,PJ Cummins,0,0,0,RG Sharma,,,1216526
2nd innings,24,4.1,RG Sharma,CJ Green,0,4,4,Q de Kock,,,1216526
2nd innings,25,4.2,RG Sharma,CJ Green,0,0,0,Q de Kock,,,1216526
2nd innings,26,4.3,RG Sharma,CJ Green,0,4,4,Q de Kock,,,1216526
2nd innings,27,4.4,RG Sharma,CJ Green,0,0,0,Q de Kock,,,1216526
2nd innings,28,4.5,RG Sharma,CJ Green,0,1,1,Q de Kock,,,1216526
2nd innings,29,4.6,Q de Kock,CJ Green,0,0,0,RG Sharma,,,1216526
2nd innings,30,5.1,RG Sharma,AD Russell,0,1,1,Q de Kock,,,1216526
2nd innings,31,5.2,Q de Kock,AD Russell,0,0,0,RG Sharma,,,1216526
2nd innings,32,5.3,Q de Kock,AD Russell,0,0,0,RG Sharma,,,1216526
2nd innings,33,5.4,Q de Kock,AD Russell,0,1,1,RG Sharma,,,1216526
2nd innings,34,5.5,RG Sharma,AD Russell,0,1,1,Q de Kock,,,1216526
2nd innings,35,5.6,Q de Kock,AD Russell,0,0,0,RG Sharma,,,1216526
2nd innings,36,6.1,RG Sharma,M Prasidh Krishna,0,4,4,Q de Kock,,,1216526
2nd innings,37,6.2,RG Sharma,M Prasidh Krishna,0,1,1,Q de Kock,,,1216526
2nd innings,38,6.3,Q de Kock,M Prasidh Krishna,0,0,0,RG Sharma,,,1216526
2nd innings,39,6.4,Q de Kock,M Prasidh Krishna,0,1,1,RG Sharma,,,1216526
